"Dist Code","Year","State Code","State Name","Dist Name","JANUARY MAXIMUM (Centigrate)","FEBRUARY MAXIMUM (Centigrate)","MARCH MAXIMUM (Centigrate)","APRIL MAXIMUM (Centigrate)","MAY MAXIMUM (Centigrate)","JUNE MAXIMUM (Centigrate)","JULY MAXIMUM (Centigrate)","AUGUST MAXIMUM (Centigrate)","SEPTEMBER MAXIMUM (Centigrate)","OCTOBER MAXIMUM (Centigrate)","NOVEMBER MAXIMUM (Centigrate)","DECEMBER MAXIMUM (Centigrate)"
"167","2010","9","Punjab","Kapurthala","20.6","24.7","33.06","38.12","40.49","38.92","34.57","32.38","31.66","32.56","28.12","21.63"
"167","2011","9","Punjab","Kapurthala","18.13","22.8","29.73","33.75","40.77","38.28","34.45","33.01","32.82","32.08","29.06","22.38"
"167","2012","9","Punjab","Kapurthala","17.24","20.62","28.1","34.04","39.49","40.61","36.3","33.08","32.51","30.3","26.28","21.17"
"167","2013","9","Punjab","Kapurthala","18.69","23.88","28.45","34.51","40.49","39.3","34.99","32.67","33.14","32.59","26.12","22.11"
"167","2014","9","Punjab","Kapurthala","18.56","21.77","27.3","33.45","37.96","40.75","35.08","34.37","33.07","31.71","26.87","20.37"
"167","2015","9","Punjab","Kapurthala","18.18","23.08","27.28","34.61","39.58","37.68","33.43","32.85","33.69","32.25","26.82","21.86"
"168","2000","9","Punjab","Jalandhar","19.39","21.63","28.13","36.85","41.17","38.95","33.85","33.7","33.54","33.82","27.49","23.4"
"168","2001","9","Punjab","Jalandhar","18.53","24.56","29.42","34.8","40.46","37.73","34.15","34.37","33.4","32.92","27.79","21.8"
"168","2002","9","Punjab","Jalandhar","19.72","23.29","30.65","36.12","41.74","39.84","36.6","33.4","30.68","31.72","27.57","22.23"
"168","2003","9","Punjab","Jalandhar","19.58","22.97","28.47","35.72","38.29","40.22","33.89","32.85","33.05","32.21","26.03","21.73"
"168","2004","9","Punjab","Jalandhar","19.0","25.65","33.35","37.1","40.28","37.71","35.24","33.31","34.77","30.07","27.86","23.42"
"168","2005","9","Punjab","Jalandhar","18.69","21.23","29.44","34.38","37.65","40.35","33.91","35.05","33.02","31.68","27.14","21.19"
"168","2006","9","Punjab","Jalandhar","18.74","27.05","29.05","35.07","40.89","38.05","35.54","32.48","32.85","31.94","26.96","21.79"
"168","2007","9","Punjab","Jalandhar","20.31","23.77","28.71","37.6","38.81","39.62","34.79","34.12","33.12","31.95","28.85","20.91"
"168","2008","9","Punjab","Jalandhar","16.33","22.46","32.29","34.62","37.73","38.08","34.5","32.69","32.27","33.28","28.24","23.62"
"168","2009","9","Punjab","Jalandhar","20.35","24.61","30.18","35.67","39.76","39.93","34.98","34.85","33.21","32.11","26.31","22.42"
"168","2010","9","Punjab","Jalandhar","20.63","24.7","33.1","38.27","40.48","38.97","34.6","32.43","31.78","32.62","28.35","21.73"
"168","2011","9","Punjab","Jalandhar","18.24","22.81","29.84","33.91","40.66","38.18","34.45","33.02","32.89","32.18","29.28","22.55"
"168","2012","9","Punjab","Jalandhar","17.3","20.75","28.24","34.2","39.56","40.7","36.27","33.04","32.63","30.38","26.45","21.28"
"168","2013","9","Punjab","Jalandhar","18.74","23.78","28.68","34.65","40.48","39.23","34.9","32.67","33.17","32.65","26.32","22.2"
"168","2014","9","Punjab","Jalandhar","18.62","21.71","27.44","33.61","37.9","40.72","34.99","34.39","33.13","31.81","27.06","20.44"
"168","2015","9","Punjab","Jalandhar","18.27","23.2","27.43","34.71","39.59","37.66","33.37","32.86","33.77","32.41","27.02","21.96"
"169","2000","9","Punjab","Hoshiarpur","18.68","20.68","27.03","35.66","40.44","38.25","32.63","32.58","32.6","32.52","26.59","22.23"
"169","2001","9","Punjab","Hoshiarpur","18.25","23.84","28.57","33.78","39.7","37.26","33.18","33.24","32.33","31.85","26.81","21.07"
"169","2002","9","Punjab","Hoshiarpur","18.89","22.37","29.37","34.98","40.59","38.92","35.18","32.2","29.68","30.72","26.83","21.42"
"169","2003","9","Punjab","Hoshiarpur","18.81","22.05","27.2","34.51","37.19","39.32","33.01","31.7","32.03","30.93","25.17","20.87"
"169","2004","9","Punjab","Hoshiarpur","18.35","24.54","32.02","36.02","39.18","36.93","33.94","32.02","33.58","28.9","26.7","22.42"
"169","2005","9","Punjab","Hoshiarpur","17.8","20.39","28.26","33.27","36.56","39.31","32.75","33.63","32.16","30.47","26.08","20.37"
"169","2006","9","Punjab","Hoshiarpur","18.12","25.87","27.94","33.99","40.05","37.29","34.28","31.35","31.83","30.86","26.12","21.16"
"169","2007","9","Punjab","Hoshiarpur","19.68","23.11","27.46","36.43","38.23","38.84","33.77","32.9","32.15","30.68","27.72","20.25"
"169","2008","9","Punjab","Hoshiarpur","15.88","21.33","30.98","33.39","37.02","37.56","33.38","31.61","31.28","31.86","27.2","22.8"
"169","2009","9","Punjab","Hoshiarpur","19.73","23.79","29.07","34.46","38.85","38.81","33.75","33.63","31.98","30.75","25.33","21.63"
"169","2010","9","Punjab","Hoshiarpur","19.52","23.54","31.82","36.95","39.21","37.91","33.34","31.32","30.94","31.33","27.54","21.07"
"169","2011","9","Punjab","Hoshiarpur","17.49","22.08","28.61","32.98","39.82","37.58","33.24","31.93","31.99","31.1","28.05","21.65"
