,Dist Code,Year,Dist Name,max_avg
125,172,2013,Ferozpur,31.859090909090913
126,172,2014,Ferozpur,31.538181818181815
127,172,2015,Ferozpur,31.293636363636367
128,174,2000,Bhatinda,32.87181818181818
129,174,2001,Bhatinda,32.58363636363637
130,174,2002,Bhatinda,33.10818181818182
131,174,2003,Bhatinda,32.33181818181818
132,174,2004,Bhatinda,33.42090909090909
133,174,2005,Bhatinda,32.24545454545454
134,174,2006,Bhatinda,32.70363636363636
135,174,2007,Bhatinda,32.99
136,174,2008,Bhatinda,32.224545454545456
137,174,2009,Bhatinda,33.1709090909091
138,174,2010,Bhatinda,33.559090909090905
139,174,2011,Bhatinda,32.42909090909091
140,174,2012,Bhatinda,31.91090909090909
141,174,2013,Bhatinda,32.46090909090909
142,174,2014,Bhatinda,32.19272727272727
143,174,2015,Bhatinda,31.994545454545456
144,175,2000,Sangrur,32.18909090909091
145,175,2001,Sangrur,32.03545454545454
146,175,2002,Sangrur,32.41636363636363
147,175,2003,Sangrur,31.78818181818182
148,175,2004,Sangrur,32.834545454545456
149,175,2005,Sangrur,31.69545454545454
150,175,2006,Sangrur,32.19363636363636
151,175,2007,Sangrur,32.47363636363636
152,175,2008,Sangrur,31.63727272727272
153,175,2009,Sangrur,32.562727272727265
154,175,2010,Sangrur,32.942727272727275
155,175,2011,Sangrur,31.864545454545453
156,175,2012,Sangrur,31.38909090909091
157,175,2013,Sangrur,31.827272727272724
158,175,2014,Sangrur,31.553636363636368
159,175,2015,Sangrur,31.475454545454543
160,176,2000,Patiala,31.66818181818182
161,176,2001,Patiala,31.592727272727277
162,176,2002,Patiala,31.911818181818184
163,176,2003,Patiala,31.33363636363636
164,176,2004,Patiala,32.36818181818182
165,176,2005,Patiala,31.228181818181817
166,176,2006,Patiala,31.737272727272735
167,176,2007,Patiala,32.02818181818182
168,176,2008,Patiala,31.179090909090913
169,176,2009,Patiala,32.07636363636363
170,176,2010,Patiala,32.46272727272727
171,176,2011,Patiala,31.398181818181822
172,176,2012,Patiala,30.939090909090908
173,176,2013,Patiala,31.33363636363636
174,176,2014,Patiala,31.075454545454544
175,176,2015,Patiala,31.024545454545454
